1.000000 	 -1.394929e-02 	 -3.519708e-01
1.050000 	 -4.431586e-02 	 -9.809155e-02
1.100000 	 -5.315148e-02 	 8.542442e-01
1.150000 	 -2.179535e-02 	 2.057982e+00
1.200000 	 1.889184e-02 	 2.721575e+00
1.250000 	 4.279843e-02 	 2.974368e+00
1.300000 	 4.949461e-02 	 3.033308e+00
1.350000 	 4.416279e-02 	 3.002527e+00
1.400000 	 3.056722e-02 	 2.918475e+00
1.450000 	 1.100407e-02 	 2.837555e+00
1.500000 	 -1.099938e-02 	 2.837553e+00
1.550000 	 -3.056240e-02 	 2.918472e+00
1.600000 	 -4.415774e-02 	 3.002525e+00
1.650000 	 -4.948937e-02 	 3.033308e+00
1.700000 	 -4.279319e-02 	 2.974370e+00
1.750000 	 -1.888707e-02 	 2.721583e+00
1.800000 	 2.179902e-02 	 2.057998e+00
1.850000 	 5.315387e-02 	 8.542662e-01
1.900000 	 4.431704e-02 	 -9.808458e-02
1.950000 	 1.394953e-02 	 -3.519759e-01
